[7,7]
[0,0]:300.0
[1,0]:300.0
[2,0]:300.0
[3,0]:300.0
[4,0]:300.0
[5,0]:300.0
[6,0]:300.0
[0,1]:300.0
[1,1]:300.0
[2,1]:300.0
[3,1]:300.0
[4,1]:300.0
[5,1]:300.0
[6,1]:300.0
[0,2]:300.0
[1,2]:300.0
[2,2]:300.0
[3,2]:300.0
[4,2]:300.0
[5,2]:300.0
[6,2]:300.0
[0,3]:300.0
[1,3]:300.0
[2,3]:300.0
[3,3]:300.0
[4,3]:300.0
[5,3]:300.0
[6,3]:300.0
[0,4]:300.0
[1,4]:300.0
[2,4]:300.0
[3,4]:300.0
[4,4]:300.0
[5,4]:300.0
[6,4]:300.0
[0,5]:300.0
[1,5]:300.0
[2,5]:300.0
[3,5]:300.0
[4,5]:300.0
[5,5]:300.0
[6,5]:300.0
[0,6]:300.0
[1,6]:300.0
[2,6]:300.0
[3,6]:300.0
[4,6]:300.0
[5,6]:300.0
[6,6]:300.0
